year,mo,da,temp,prcp
2005,07,14,78.0,0.06
2005,06,16,72.7,0.0
2005,11,29,62.3,0.0
2005,12,13,24.4,0.0
2005,09,08,70.9,0.0
2005,11,25,23.2,0.02
2005,11,04,52.3,0.0
2005,10,03,64.5,0.0
2005,07,05,74.6,0.34
2005,12,09,27.0,0.41
2005,10,31,49.0,0.0
2005,08,17,71.0,0.01
2005,01,24,11.9,0.01
2005,09,14,72.6,0.19
2005,02,27,27.3,0.0
2005,02,08,40.2,0.0
2005,09,29,64.8,0.02
2005,02,10,38.9,0.06
2005,02,21,33.1,0.21
2005,02,24,27.9,0.0
2005,08,21,80.8,0.0
2005,08,30,77.2,0.0
2005,09,01,72.9,0.03
2005,10,28,42.2,0.01
2005,03,25,41.1,0.0
2005,04,23,53.6,0.52
2005,04,28,51.6,0.0
2005,06,03,59.8,0.01
2005,08,07,74.5,0.02
2005,11,08,49.0,0.0
2005,03,24,37.7,1.24
2005,05,27,64.4,0.0
2005,07,17,77.2,1.67
2005,11,07,54.4,0.15
2005,11,24,36.1,0.02
2005,03,05,28.0,0.0
2005,04,11,57.4,0.0
2005,05,06,49.1,0.0
2005,05,08,60.4,0.0
2005,09,06,69.0,0.0
2005,09,11,68.0,0.0
2005,06,28,78.5,0.0
2005,02,18,25.8,0.0
2005,04,21,61.0,0.0
2005,11,06,58.6,0.0
2005,03,31,45.1,0.0
2005,05,05,49.5,0.0
2005,06,10,77.5,0.0
2005,08,03,82.3,0.0
2005,10,20,55.2,0.0
2005,08,05,80.5,0.0
2005,09,03,71.0,0.0
2005,10,19,58.3,0.0
2005,11,13,49.2,0.0
2005,01,26,32.1,0.0
2005,06,29,76.3,0.98
2005,08,16,70.6,0.52
2005,01,14,49.9,0.98
2005,10,07,71.3,0.05
2005,10,14,61.3,0.17
2005,12,03,28.3,0.0
2005,07,08,67.9,3.01
2005,11,23,31.8,0.04
2005,08,31,79.8,0.01
2005,10,23,49.9,0.52
2005,03,04,24.5,0.0
2005,03,06,35.0,0.0
2005,03,09,22.9,0.0
2005,04,20,68.7,0.0
2005,07,28,72.1,0.0
2005,10,02,63.0,0.0
2005,02,20,30.3,0.0
2005,10,01,58.0,0.0
2005,07,03,70.9,0.0
2005,08,06,76.8,0.0
2005,08,18,72.8,0.0
2005,10,04,65.1,0.0
2005,12,24,35.0,0.0
2005,09,20,72.6,0.0
2005,06,17,63.4,0.0
2005,06,20,65.9,0.0
2005,12,11,23.5,0.0
2005,09,16,75.8,0.0
2005,07,29,71.3,0.0
2005,12,31,33.5,0.1
2005,07,25,76.8,0.41
2005,12,15,26.3,0.08
2005,10,08,66.4,2.94
2005,08,12,79.7,0.11
2005,04,02,50.5,0.72
2005,11,03,50.4,0.0
2005,12,17,31.9,0.0
2005,12,14,25.4,0.0
2005,12,30,42.7,0.0
2005,04,12,46.5,0.0
2005,09,27,68.2,0.02
2005,09,30,54.6,0.0
2005,02,28,29.2,0.16
2005,04,08,59.1,0.37
2005,03,10,24.4,0.0
2005,11,19,34.0,0.0
2005,02,09,43.0,0.01
2005,02,14,36.5,0.4
2005,03,08,40.2,0.22
2005,03,02,29.2,0.0
2005,01,08,37.0,0.21
2005,01,17,22.9,0.01
2005,03,21,42.0,0.18
2005,05,01,56.2,0.23
2005,06,08,78.6,0.0
2005,08,08,75.0,0.0
2005,11,02,50.2,0.01
2005,11,22,42.7,0.77
2005,06,07,73.3,4.15
2005,10,25,44.1,0.54
2005,05,21,55.0,0.28
2005,05,23,55.5,0.01
2005,05,25,52.0,0.05
2005,08,19,71.7,0.06
2005,09,02,73.7,0.0
2005,10,29,41.3,0.0
2005,11,15,54.3,0.03
2005,12,06,29.4,0.0
2005,02,12,33.9,0.0
2005,03,16,35.1,0.0
2005,05,19,60.1,0.0
2005,07,31,74.3,0.0
2005,08,24,70.0,0.0
2005,09,12,71.2,0.0
2005,10,30,48.1,0.0
2005,12,21,25.5,0.0
2005,12,28,36.8,0.0
2005,04,29,50.5,0.0
2005,05,29,60.2,0.0
2005,05,30,60.9,0.0
2005,12,07,25.2,0.0
2005,12,12,31.7,0.0
2005,04,15,48.6,0.0
2005,04,18,60.5,0.0
2005,04,19,63.4,0.0
2005,08,02,79.8,0.0
2005,09,24,67.6,0.0
