"date","load","lasthour","last6hours","last12hours","year","quarter","month","weekofyear","dayofyear","dayofmonth","hour","daytime","weekend","holiday","season","temp"
1998-04-01 01:00:00,22259,22795,26472.6666666667,28003.75,1998,2,4,13,91,1,1,0,0,0,2,68
1998-04-01 02:00:00,21244,22259,24904,27259.5,1998,2,4,13,91,1,2,0,0,0,2,68
1998-04-01 03:00:00,20651,21244,23396.5,26481.3333333333,1998,2,4,13,91,1,3,0,0,0,2,68
1998-04-01 04:00:00,20421,20651,22120,25709.0833333333,1998,2,4,13,91,1,4,0,0,0,2,68
1998-04-01 05:00:00,20713,20421,21347.1666666667,25016.1666666667,1998,2,4,13,91,1,5,0,0,0,2,68
1998-04-01 06:00:00,22526,20713,21302.3333333333,24485.75,1998,2,4,13,91,1,6,0,0,0,2,68
1998-04-01 07:00:00,25772,22526,21887.8333333333,24180.25,1998,2,4,13,91,1,7,0,0,0,2,68
1998-04-01 08:00:00,28724,25772,23134.5,24019.25,1998,2,4,13,91,1,8,0,0,0,2,68
1998-04-01 09:00:00,30075,28724,24705.1666666667,24050.8333333333,1998,2,4,13,91,1,9,0,0,0,2,68
1998-04-01 10:00:00,30689,30075,26416.5,24268.25,1998,2,4,13,91,1,10,0,0,0,2,68
1998-04-01 11:00:00,31295,30689,28180.1666666667,24763.6666666667,1998,2,4,13,91,1,11,1,0,0,2,68
1998-04-01 12:00:00,31539,31295,29682.3333333333,25492.3333333333,1998,2,4,13,91,1,12,1,0,0,2,68
1998-04-01 13:00:00,31227,31539,30591.5,26239.6666666667,1998,2,4,13,91,1,13,1,0,0,2,68
1998-04-01 14:00:00,31235,31227,31010,27072.25,1998,2,4,13,91,1,14,1,0,0,2,68
1998-04-01 15:00:00,30887,31235,31145.3333333333,27925.25,1998,2,4,13,91,1,15,1,0,0,2,68
1998-04-01 16:00:00,30724,30887,31151.1666666667,28783.8333333333,1998,2,4,13,91,1,16,1,0,0,2,68
1998-04-01 17:00:00,30863,30724,31079.1666666667,29629.6666666667,1998,2,4,13,91,1,17,1,0,0,2,68
1998-04-01 18:00:00,30927,30863,30977.1666666667,30329.75,1998,2,4,13,91,1,18,1,0,0,2,68
1998-04-01 19:00:00,31376,30927,31002,30796.75,1998,2,4,13,91,1,19,1,0,0,2,68
