USAF	WBAN	STATION NAME	CTRY	ST CALL	LAT	LON	ELEV(M)	BEGIN	END
									
7018	99999	WXPOD 7018			#FIELD!	#FIELD!	#FIELD!	20110309	20130730
7026	99999	WXPOD 7026	AF		#FIELD!	#FIELD!	#FIELD!	20120713	20170822
7070	99999	WXPOD 7070	AF		#FIELD!	#FIELD!	#FIELD!	20140923	20150926
8260	99999	WXPOD8270			#FIELD!	#FIELD!	#FIELD!	19960101	20100731
8268	99999	WXPOD8278	AF		32.950	65.567	#FIELD!	20100519	20120323
8307	99999	WXPOD 8318	AF		#FIELD!	#FIELD!	#FIELD!	20100421	20100421
8411	99999	XM20						20160217	20160217
8414	99999	XM18						20160216	20160217
8415	99999	XM21						20160217	20160217
8418	99999	XM24						20160217	20160217
10000	99999	BOGUS NORWAY	NO	ENRS				20010927	20041019
10010	99999	JAN MAYEN(NOR-NAVY)	NO	ENJA	70.933	-8.667	#FIELD!	19310101	20190423
10013	99999	ROST	NO					19861120	19880105
10014	99999	SORSTOKKEN	NO	ENSO	59.792	5.341	#FIELD!	19861120	20190423
10015	99999	BRINGELAND	NO		61.383	5.867	#FIELD!	19870117	20081231
10016	99999	RORVIK/RYUM	NO		64.850	11.233	#FIELD!	19870116	19910806
10017	99999	FRIGG	NO	ENFR	59.980	2.250	#FIELD!	19880320	20050228
10020	99999	VERLEGENHUKEN	NO		80.050	16.250	#FIELD!	19861109	20190423
10030	99999	HORNSUND	NO		77.000	15.500	#FIELD!	19850601	20190423
10040	99999	NY-ALESUND II	NO	ENAS	78.917	11.933	#FIELD!	19730101	20140523
10050	99999	ISFJORD RADIO	SV		78.067	13.633	#FIELD!	19310103	20041030
10060	99999	EDGEOYA	NO		78.250	22.817	#FIELD!	19730101	20190423
10070	99999	NY-ALESUND	SV		78.917	11.933	#FIELD!	19730106	20190423
10071	99999	LONGYEARBYEN	SV		78.217	15.583	#FIELD!	20050210	20050210
10080	99999	LONGYEAR	SV	ENSB	78.246	15.466	#FIELD!	19750929	20190423
10090	99999	KARL XII OYA	SV		80.650	25.000	#FIELD!	19550101	20190423
10100	99999	ANDOYA	NO	ENAN	69.293	16.144	#FIELD!	19310103	20190423
10110	99999	KVITOYA	SV		80.067	31.500	#FIELD!	19861118	20190423
10120	99999							19741130	19751116
10140	99999	SENJA-LAUKHELLA	NO		69.233	17.900	#FIELD!	19730101	20140523
10150	99999	HEKKINGEN FYR	NO		69.600	17.833	#FIELD!	19800314	20190423
10160	99999	KONGSOYA	NO		78.933	28.900	#FIELD!	19930501	20190423
10170	99999	AKSELOYA	SV		77.683	14.783	#FIELD!	19730101	20190423
10171	99999	GIBOSTAD	NO		69.350	18.083	#FIELD!	20050216	20070307
10190	99999	SVARTTANGEN	NO		77.517	20.817	#FIELD!	20100825	20140523
10200	99999	SORKAPPOYA	SV		76.483	16.550	#FIELD!	20101008	20190423
10230	99999	BARDUFOSS	NO	ENDU	69.056	18.540	#FIELD!	19400713	20190423
10231	99999	DRAUGEN	NO	ENDR	64.350	7.800	#FIELD!	20040510	20190409
10240	99999	PYRAMIDEN	NO		78.650	16.367	#FIELD!	19730101	20190423
10250	99999	TROMSO	NO	ENTC	69.683	18.919	#FIELD!	19730101	20190423
10260	99999	TROMSO	NO		69.650	18.933	#FIELD!	19970201	20190423
10270	99999	TROMSO-HOLT	NO		69.650	18.900	#FIELD!	20110928	20190423
10280	99999	BJORNOYA ISLAND	NO	ENBJ	74.517	19.017	#FIELD!	19310103	20190423
10300	99999	KISTEFJELL	NO		69.283	18.133	#FIELD!	19510101	20190423
10303	99999	TROMSO/SKATTURA	NO		69.700	19.017	#FIELD!	20140522	20150108
10320	99999	OVERBYGD	NO		69.017	19.283	#FIELD!	19730101	20140523
10330	99999	TORSVAG FYR	NO		70.250	19.500	#FIELD!	19730101	20190423
10340	99999	FUGLOYKALVEN FYR	NO		70.317	20.150	#FIELD!	19871202	20140523
10350	99999	LYNGEN GJERDVASSBU	NO		69.567	20.100	#FIELD!	19730101	20190423
10351	99999	OTEREN	NO		69.250	19.883	#FIELD!	19960101	19961231
10360	99999	NORDNESFJELLET	NO		69.567	20.433	#FIELD!	20040510	20190423
10361	99999	SKIBOTIN	NO		69.367	20.267	#FIELD!	20050916	20050922
10370	99999	SKIBOTN 2	NO		69.383	20.283	#FIELD!	19730101	20190423
10400	99999	SKJERVOY	NO		70.033	20.983	#FIELD!	19730101	19780927
10410	99999	NORDREISA-OYENG	NO		69.733	21.017	#FIELD!	19730101	20140523
10420	99999	HASVIK-SLUSKFJELLET	NO		70.600	22.450	#FIELD!	20080917	20190423
10430	99999	ROGNSUNDET	NO		70.417	22.817	#FIELD!	19730101	20190423
10431	99999	LOPPA	NO		70.333	21.467	#FIELD!	19960101	20070307
10435	99999	HASVIK	NO		70.483	22.150	#FIELD!	19750515	20081230
10440	99999	HASVIK	NO	ENHK	70.487	22.140	#FIELD!	19960101	20190423
10450	99999	NORDSTRAUM I KVAENANGEN	NO		69.833	21.883	#FIELD!	19730101	20190423
10455	99999							19741117	19750904
10460	99999	SORKJOSEN	NO	ENSR	69.787	20.959	#FIELD!	19750905	20190423
10470	99999	KAUTOKEINO II	NO	ENKA	69.017	23.067	#FIELD!	19730101	20190423
10490	99999	ALTA	NO	ENAT	69.976	23.372	#FIELD!	19730101	20190423
10510	99999	SUOLOVUOPMI	NO		69.583	23.533	#FIELD!	19730102	20140523
10520	99999	HAMMERFEST AP	NO	ENHF	70.683	23.683	#FIELD!	19401008	20190423
10530	99999	HAMMERFEST RADIO	NO		70.683	23.683	#FIELD!	19730101	19871226
10550	99999	FRUHOLMEN FYR	NO		71.100	23.983	#FIELD!	19310101	20190423
10570	99999	CUOVDDATMOHKKI	NO		69.367	24.433	#FIELD!	19730101	20190423
10580	99999	SUOLOVUOPMI LULIT	NO		69.567	23.533	#FIELD!	20050218	20190423
10590	99999	BANAK	NO	ENNA	70.069	24.973	#FIELD!	19730101	20190423
10610	99999	BRENNELV	NO		70.067	25.117	#FIELD!	19730101	19840707
10617	99999	OSEBERG	NO					19890101	19901001
10620	99999	HOPEN ISLAND	NO	ENHO	76.500	25.067	#FIELD!	19550101	20190423
10630	99999	KISTRAND III	NO		70.450	25.217	#FIELD!	19730101	19870715
10650	99999	KARASJOK	NO		69.467	25.517	#FIELD!	19730101	20190423
10660	99999	HELNES FYR	NO		71.067	26.233	#FIELD!	19730101	20040619
10670	99999	LEVAJOK-EVJEN	NO		69.900	26.417	#FIELD!	19730103	19820924
10671	99999	LEVAJOK-EVJEN	NO		69.900	26.417	#FIELD!	20070307	20070307
10680	99999	HONNINGSVAG/VALAN	NO	ENHV	71.017	25.983	#FIELD!	19800604	20190423
10720	99999							19740227	19740227
10740	99999	MEHAMN	NO	ENMH	71.033	27.833	#FIELD!	19750905	20190423
10750	99999	RUSTEFJELBMA	NO		70.400	28.200	#FIELD!	19730101	20130531
10760	99999	TANABRU	NO		70.217	28.167	#FIELD!	20121121	20190423
10780	99999	SLETTNES FYR	NO		71.100	28.233	#FIELD!	19730101	20190423
10820	99999	NYRUD	NO		69.150	29.250	#FIELD!	19730919	20190423
10830	99999	BERLEVAG	NO	ENBV	70.867	29.033	#FIELD!	19750905	20190423
10840	99999	PASVIK	NO		69.450	30.033	#FIELD!	19730101	20190423
10850	99999	BUGOYFJORD	NO		69.850	29.417	#FIELD!	19730101	19781008
10860	99999	BATSFJORD	NO	ENBS	70.600	29.693	#FIELD!	19960101	20190423
10875	99999	HEIMDAL OIL PLATFORM	NO	ENHM	59.567	2.217	#FIELD!	20110101	20190423
10876	99999	NORNE OIL PLATFORM	NO	ENNE	66.017	8.083	#FIELD!	20110101	20190423
10877	99999	TROLL A  OIL PLATFORM	NO	ENQA	60.633	3.717	#FIELD!	20110101	20190423
10878	99999	SNORRE A  OIL PLATFORM	NO	ENSE	61.450	2.133	#FIELD!	20110101	20190423
10879	99999	SNORRE B  OIL PLATFORM	NO	ENQR	61.533	2.200	#FIELD!	20110101	20190423
10880	99999	VADSO	NO	ENVD	70.067	29.850	#FIELD!	19750905	20190423
10881	99999	NARVIK III/FRAMNES	NO		68.467	17.500	#FIELD!	20080101	20081231
10882	99999	ROROS	NO	ENRO	62.578	11.342	#FIELD!	19960101	20190423
10883	99999	SANDANE/ANDA	NO		61.833	6.117	#FIELD!	20080101	20081231
10884	99999	GEITERYGGEN	NO	ENSN	59.185	9.567	#FIELD!	19960101	20151109
10885	99999	BATSFJORD	NO		70.600	29.733	#FIELD!	19940718	20081231
10886	99999	SLEIPNER A OIL PLATFORM	NO	ENSL	58.367	1.900	#FIELD!	20090201	20190423
10887	99999	TROLL C OIL PLATFORM	NO	ENQC	60.886	3.610	#FIELD!	20110512	20190423
10890	99999	HOYBUKTMOEN	NO	ENKR	69.726	29.893	#FIELD!	19401101	20190423
10920	99999	MAKKAUR FYR	NO		70.700	30.083	#FIELD!	19730101	20190423
10970	99999	SVARTNES	NO		70.350	31.050	#FIELD!	19930209	20081231
10980	99999	VARDO	NO		70.367	31.100	#FIELD!	19310103	20190423
10985	99999							19741117	19750904
10986	99999							19741117	19750904
10987	99999							19741117	19750904
10990	99999	VARDO AP / SVARTNES	NO	ENSS	70.355	31.045	#FIELD!	19960101	20190423
11010	99999	BOGUS NORWEGIAN	NO					19851202	20041105
11020	99999	SKLINNA FYR	NO		65.200	11.000	#FIELD!	19750228	20190228
11025	99999	HEIDRUN	NO	ENHE	65.333	7.317	#FIELD!	19990424	20190423
11030	99999	LEKA	NO		65.100	11.700	#FIELD!	19730101	20070307
11040	99999	ROTVAER	NO		68.367	15.950	#FIELD!	20080101	20080817
11050	99999	ROTVAER	NO		68.367	15.950	#FIELD!	19730101	20190423
11051	99999	SKOMVAER (LGT-H)	NO		67.417	11.883	#FIELD!	20070307	20070307
11060	99999	ROEST III	NO		67.517	12.100	#FIELD!	19280101	20081204
11070	99999	ROST (NOR-AFB)	NO	ENRS	67.517	12.100	#FIELD!	19880303	20190423
11080	99999	VEGA-VALLSJO	NO		65.700	11.850	#FIELD!	19910801	20190423
11090	99999	SKALVAER	NO		65.867	12.183	#FIELD!	19730101	19800910
11100	99999	YTTERHOLMEN FYR	NO		66.000	11.683	#FIELD!	19961201	20050319
11110	99999	BRONNOYSUND	NO		65.467	12.217	#FIELD!	19730116	19730718
11120	99999	BRONNOY	NO	ENBN	65.461	12.218	#FIELD!	19730101	20190423
11130	99999	GLOMFJORD	NO		66.800	13.983	#FIELD!	20040406	20091216
11133	99999	DAGALI	NO	ENDI	60.417	8.513	#FIELD!	19860509	20030427
11140	99999	REIPA	NO		66.900	13.633	#FIELD!	20090702	20190423
11150	99999	MYKEN	NO		66.767	12.483	#FIELD!	19730101	20190423
11160	99999	STOKKA	NO	ENST	65.950	12.467	#FIELD!	19730401	20190423
