year,mo,da,temp,prcp
2011,08,29,65.5,0.1
2011,02,28,47.7,0.2
2011,02,23,20.8,0.1
2011,08,24,69.1,0.0
2011,07,31,79.5,0.27
2011,01,06,25.6,0.0
2011,01,20,32.2,0.12
2011,01,29,25.8,0.05
2011,02,02,32.2,0.82
2011,02,03,28.1,0.08
2011,02,14,45.4,0.0
2011,02,20,33.7,0.0
2011,03,29,36.8,0.0
2011,04,11,63.7,0.0
2011,05,07,56.2,0.02
2011,05,10,60.1,0.0
2011,05,13,60.4,0.0
2011,06,10,77.5,0.06
2011,07,02,73.7,0.0
2011,07,05,77.2,0.0
2011,07,09,75.5,0.6
2011,08,10,74.0,0.88
2011,10,03,47.8,0.03
2011,10,12,59.7,0.13
2011,11,01,45.8,0.0
2011,11,27,48.4,0.0
2011,12,09,36.7,0.02
2011,01,15,24.8,0.0
2011,01,16,30.2,0.0
2011,02,24,27.7,0.0
2011,03,08,36.1,0.02
2011,05,15,64.6,0.4
2011,06,16,67.6,0.0
2011,07,17,76.9,0.0
2011,08,22,70.7,0.48
2011,09,03,71.6,0.01
2011,09,04,74.9,0.03
2011,09,30,61.5,0.01
2011,10,15,57.7,0.22
2011,10,21,51.0,0.01
2011,10,27,55.0,0.09
2011,10,28,41.5,0.27
2011,11,08,51.1,0.0
2011,11,18,36.7,0.0
2011,11,21,49.7,0.16
2011,12,05,44.9,0.0
2011,12,27,36.1,0.0
2011,02,15,33.6,0.0
2011,02,17,45.4,0.0
2011,03,14,39.0,0.0
2011,04,22,43.0,0.0
2011,04,26,72.9,0.01
2011,05,05,53.2,0.15
2011,05,30,79.6,0.0
2011,06,04,66.0,0.0
2011,06,09,83.4,0.0
2011,06,14,65.9,0.0
2011,06,20,72.9,0.0
2011,07,15,73.2,0.0
2011,07,28,75.2,0.0
2011,08,04,71.3,0.08
2011,08,09,73.7,0.0
2011,09,13,70.3,0.01
2011,09,18,56.8,0.05
2011,09,26,70.9,0.01
2011,10,16,57.3,0.0
2011,11,29,58.8,0.02
2011,12,14,37.7,0.0
2011,12,17,35.2,0.0
2011,12,21,43.6,0.07
2011,12,22,51.1,0.16
2011,12,28,38.3,0.61
2011,10,04,53.0,0.02
2011,05,20,60.3,0.87
2011,06,12,70.2,1.84
2011,09,10,73.6,0.0
2011,02,21,34.5,0.03
2011,02,27,41.2,0.0
2011,08,23,65.5,0.01
2011,01,01,37.9,0.0
2011,01,04,29.5,0.0
2011,01,14,22.6,0.0
2011,02,05,29.7,0.06
2011,02,11,20.0,0.0
2011,02,18,55.4,0.0
2011,04,06,42.8,0.18
2011,04,12,58.2,0.13
2011,04,19,51.5,0.0
2011,04,23,49.3,0.25
2011,04,27,72.4,0.0
2011,05,26,75.3,0.0
2011,07,01,71.4,0.0
2011,07,16,74.5,0.0
2011,07,22,89.7,0.0
2011,08,03,75.8,0.0
2011,08,08,80.0,0.01
2011,08,30,66.4,0.0
2011,09,17,54.3,0.0
2011,10,11,63.4,0.0
2011,12,10,36.2,0.0
2011,12,11,30.0,0.0
2011,12,18,30.7,0.0
2011,12,26,39.4,0.0
2011,06,24,75.3,0.0
2011,01,31,21.8,0.0
2011,02,04,21.1,0.0
2011,02,07,32.5,0.0
2011,03,28,33.2,0.0
2011,03,30,38.1,0.0
2011,04,03,45.0,0.0
2011,04,09,44.4,0.73
2011,04,24,66.3,0.26
2011,04,29,56.7,1.57
2011,05,28,73.2,0.0
2011,06,18,73.4,0.23
2011,06,19,74.0,0.0
2011,06,27,71.5,0.0
2011,09,12,68.3,0.12
2011,09,21,67.0,0.02
2011,10,24,50.8,0.0
2011,11,07,44.8,0.0
2011,11,16,54.4,0.1
2011,11,24,43.8,0.12
2011,12,12,29.0,0.0
2011,12,23,45.4,0.82
2011,12,31,43.5,0.0
2011,01,23,14.4,0.0
2011,01,27,31.6,0.47
2011,03,10,46.8,0.52
2011,03,23,38.5,0.13
2011,03,24,36.2,0.22
2011,04,18,55.0,0.0
2011,04,20,57.0,0.3
2011,04,28,71.1,0.13
2011,05,06,55.0,0.0
2011,06,07,73.7,0.01
2011,06,13,68.0,0.07
2011,07,08,74.5,0.25
2011,07,25,77.3,0.0
2011,08,13,69.2,0.0
2011,08,15,72.3,0.03
2011,08,16,71.8,0.0
2011,08,19,72.5,0.05
2011,09,22,71.8,0.16
2011,10,07,54.1,0.0
2011,10,14,65.2,0.86
2011,12,29,27.5,0.01
2011,07,04,77.2,0.0
2011,02,09,19.4,0.01
2011,05,17,61.2,2.08
2011,10,20,60.1,0.21
2011,11,02,43.7,0.0
2011,12,08,38.7,1.27
2011,03,31,37.3,0.08
2011,04,10,52.1,0.0
2011,04,13,47.7,0.65
2011,05,19,62.3,0.34
2011,06,22,77.7,0.79
2011,07,03,77.7,0.17
2011,09,23,69.6,0.08
2011,04,05,54.3,0.3
2011,06,21,73.9,0.27
2011,08,07,78.9,0.55
2011,09,06,62.3,1.78
2011,10,31,37.2,0.0
2011,12,20,43.3,0.0
2011,02,26,34.7,0.23
2011,08,26,74.2,0.36
2011,11,25,45.2,0.0
2011,08,20,71.7,0.04
2011,08,05,73.4,0.0
2011,02,22,23.5,0.2
2011,08,27,74.6,0.01
2011,01,02,46.4,0.0
2011,01,03,29.9,0.0
2011,01,30,28.2,0.0
2011,02,16,33.5,0.0
2011,03,04,33.0,0.0
2011,03,09,37.5,0.0
2011,03,26,31.5,0.0
2011,04,16,47.4,0.0
2011,04,25,68.4,0.33
2011,04,30,53.3,0.0
2011,05,09,60.3,0.0
2011,05,11,61.3,0.0
2011,05,12,62.8,0.0
2011,05,16,65.0,0.27
2011,05,18,63.6,0.34
2011,05,22,64.4,0.01
2011,05,23,66.8,0.0
2011,06,25,70.9,0.0
2011,07,10,75.5,0.01
2011,08,17,73.6,0.02
2011,08,31,68.3,0.01
2011,09,29,68.6,0.15
2011,10,02,47.3,0.38
2011,10,23,47.1,0.0
2011,10,26,52.9,0.0
2011,11,05,41.2,0.0
2011,11,06,40.1,0.0
2011,11,26,45.6,0.0
2011,12,16,46.8,0.02
2011,06,23,77.5,0.04
2011,01,05,31.7,0.0
2011,01,09,23.9,0.01
2011,01,11,22.3,0.0
2011,02,10,23.2,0.0
2011,02,12,27.8,0.0
2011,03,07,37.3,1.29
2011,03,16,44.4,0.39
2011,03,21,44.5,0.19
2011,04,02,41.0,0.06
2011,06,01,81.2,0.0
2011,06,29,75.3,0.06
2011,06,30,70.8,0.0
2011,07,07,79.2,0.0
2011,07,12,81.1,0.02
2011,07,13,78.6,0.0
2011,07,20,80.2,0.0
2011,07,27,76.9,0.0
2011,09,24,68.5,0.81
2011,09,27,71.6,0.01
2011,10,01,54.4,0.0
2011,10,13,59.7,0.21
2011,10,29,37.6,0.13
2011,10,30,36.4,0.7
2011,11,12,42.0,0.0
2011,11,13,45.5,0.0
2011,12,01,39.8,0.0
2011,12,15,46.5,0.0
2011,01,22,14.0,0.0
2011,01,07,28.5,0.03
2011,01,10,23.8,0.0
2011,01,12,24.3,0.33
2011,01,19,35.0,0.15
2011,03,02,39.7,0.0
2011,03,05,46.4,0.0
2011,03,17,50.2,0.32
2011,03,27,34.0,0.0
2011,04,17,53.8,1.15
2011,05,01,54.1,0.0
2011,05,03,67.9,0.01
2011,05,08,57.5,0.0
2011,05,21,65.7,0.11
2011,07,11,79.3,0.0
2011,07,14,73.6,0.0
2011,07,29,79.4,0.05
2011,08,21,73.5,0.01
2011,09,15,64.6,0.77
2011,09,16,53.0,0.22
2011,09,19,57.0,0.0
2011,10,05,59.1,0.01
2011,10,18,56.0,0.0
2011,11,15,61.1,0.0
2011,12,19,34.5,0.0
2011,12,24,34.5,0.39
2011,03,12,43.9,0.01
2011,05,27,71.7,0.24
2011,06,05,67.5,0.41
2011,09,14,72.9,0.0
2011,01,28,28.3,0.0
2011,06,11,75.1,0.75
2011,08,14,72.0,0.62
2011,11,10,49.0,0.0
2011,08,28,71.3,2.85
2011,03,01,38.2,0.48
2011,05,25,72.2,0.01
2011,02,25,40.4,0.55
2011,01,08,22.0,0.01
2011,01,13,23.6,0.0
2011,01,21,26.9,0.09
2011,01,24,12.4,0.0
2011,01,25,27.8,0.0
2011,03,25,32.7,0.01
2011,04,04,55.3,0.05
2011,04,08,43.6,0.01
2011,05,31,81.7,0.0
2011,06,02,74.8,0.0
2011,06,03,66.0,0.0
2011,06,08,79.4,0.0
2011,06,15,66.3,0.0
2011,06,26,69.3,0.0
2011,07,06,78.5,0.0
